ROOM NAMES,Room Names,Block Names,Class Capacity
Kumari Hall 1,KUMARI-HALL-1,Kumari,270
Kumari Hall 2,KUMARI-HALL-2,Kumari,180
Buckingham Palace,LT-01,London,90
Kensington Palace,LT-02,London,90
Westminster Palace,LT-03,London,90
Tridev Gurung,LT-04,Alumni,100
Amir Khadka,LT-05,Alumni,100
Chhitesh Lal Shrestha,LT-06,Alumni,96
Naresh Lamgade,LT-08,Alumni,88
Innovate Tech,LT-11,Impact,60
ING Skill Academy,LT-12,Impact,72
Vairav Tech,LT-13,Impact,72
Tower Bridge,SR-01,London,57
Trafalgar Square,SR-02,London,50
Piccadilly Circus,SR-03,London,49
Tower of London,SR-04,London,46
Rotash Shrestha,SR-05,Alumni,48
Abhash Bikram Thapa,SR-06,Alumni,48
Sujan Khadgi,SR-07,Alumni,48
Sajiya Gurung,SR-08,Alumni,48
Simran Bhattarai,SR-09,Alumni,48
Samir Gautam,SR-10,Alumni,48
Kantipur,TR-01,Nepal,39
Patan,TR-02,Nepal,40
Pokhara,TR-03,Nepal,32
Lumbini,TR-04,Nepal,36
Machapuchare,TR-05,Nepal,37
Annapurna,TR-06,Nepal,40
Kanchanjunga,TR-07,Nepal,39
Sagarmatha,TR-08,Nepal,34
mySecondTeacher,TR-09,Impact,24
One More Bite,TR-10,Impact,24
ING Arc,TR-11,Impact,24
ING Tech,TR-12,Impact,24
inRed Labs,TR-13,Impact,24
Prashidika Tiwari,TR-14,Skill,30
Sarad Paudel,TR-15,Skill,60
Prashraya Thapa,TR-16,Skill,30
Raj Bikram Shrestha,TR-17,Skill,30
Aayesha Nakarmi,LAB-01,Skill,30
Ams Ghimire,LAB-02,Skill,30
Lasata Maharjan,LAB-03,Skill,30
Kshitiz Shrestha,LAB-04,Skill,30
Sahas Shakya,LAB-05,Skill,30
Aashima Chalise,LAB-06,Skill,30
Sonik Das Mulmi,LAB-07,Skill,30
Ronisha Shrestha,LAB-08,Skill,30
Sheneeza Chaudhary,LAB-09,Skill,30
Jeevan Khatiwada,LAB-10,Skill,30
Suvan Thapa Magar,LAB-11,Skill,30
Sushant Hona,LAB-12,Skill,30
Lab 13,LAB-13,Impact,24
Lab 14,LAB-14,Impact,24
Lab 15,LAB-15,Impact,24
Lab 16,LAB-16,Impact,24
